LABELS,NEWS
NEGATIVE,رواں سال کا چوتھا اور آخری چاند گرہن کل ہوگا
NEGATIVE,اسمارٹ فون استعمال کرنے والوں کیلئے خطرہ!
POSITIVE,"واٹس ایپ صارفین کے لیے زبردست فیچر، بہترین سہولت سے فائدہ اٹھائیں!"
NEGATIVE,"کرونا وائرس بھارت سے پھیلا، چینی ماہرین نے اہم شواہد تلاش کرلیے"
NEUTRAL,روس کی پہلی تیار کردہ الیکٹرک کار مارکیٹ میں فروخت کے لیے کب دستیاب ہوگی؟
POSITIVE,"دنیا کا سب سے منفرد اسمارٹ فون، حیران کن خصوصیات"
NEUTRAL,اکاؤنٹ ویریفکیشن سروس کے حوالے سے ٹویٹر کا بڑا اعلان
NEGATIVE,ہیکرز سرگرم: انسٹاگرام صارفین کے اکاؤنٹس ہیک ہونے کا خطرہ
NEUTRAL,گیمنگ کا نشہ کیسے ختم کیا جاسکتا ہے؟
NEGATIVE,بھارت چین کی ٹیکنالوجی سے خوفزدہ ہوگیا
NEGATIVE,نظریہ ارتقا پیش کرنے والے چارلس ڈارون کے ہاتھ سے لکھی کتابیں چوری
NEUTRAL,"سیاہ آسمان پر روشنی نمودار، ویڈیو سامنے آگئی"
NEGATIVE,واٹس ایپ کو گوگل میسجز سے خطرہ لاحق ہو گیا؟
NEUTRAL,"اب ہر ویڈیو سے پیسے کمائے جائیں گے، یوٹیوب میں بڑی تبدیلی"
NEGATIVE,"آنر برانڈ فروخت ہونے جارہا ہے، ہواوے کی تصدیق"
NEUTRAL,پہیلی کا درست جواب کیا ہوگا؟‌
NEGATIVE,کرونا وائرس کے بارے میں نیا خوف ناک انکشاف
NEUTRAL,کیا خلائی سفر سے واپسی پر خلا باز مذہب اور روحانیت کی طرف مائل ہوجاتے ہیں؟
NEUTRAL,اب روبوٹ نیوز اینکر ٹی وی پر خبریں پڑھے گی
NEUTRAL,"امریکا میں ٹک ٹاک پر پابندی کا فیصلہ، عملدر آمد مؤخر"
NEGATIVE,سائنس دانوں نے کرونا وائرس کی ایک اور تباہ کن ’صلاحیت‘ کا انکشاف کر دیا
NEUTRAL,پہلے کون سا گلاس بھرے گا؟ درست جواب تلاش کرنے کا چیلنج
POSITIVE,معروف کارساز کمپنی کا سیلف ڈرائیو گاڑی متعارف کرانے کا اعلان
POSITIVE,انسٹاگرام کے ہوم پیج ڈیزائن میں تبدیلی
NEGATIVE,واٹس ایپ نے صارفین سے بڑی سہولت واپس لے لی
NEUTRAL,چینی کمپنی ہواوے نے بڑا فیصلہ کرلیا
NEGATIVE,ہواوے گوگل اینڈرائیڈ کو بڑا جھٹکا دینے کے لئے تیار
NEUTRAL,کیا آپ سیکنڈ کے دس کھرب ویں حصے کے بارے میں جانتے ہیں؟
NEUTRAL,متحدہ عرب امارات کا خلائی مشن مریخ‌ پر کب پہنچے گا؟‌ تاریخ‌ سامنے آگئی
NEUTRAL,پاکستان میں واٹس ایپ استعمال کرنے والے ہوجائیں ہوشیار
NEGATIVE,"پتھروں کی بارش کا امکان، ماہرین نے بڑی پیش گوئی کردی"
NEUTRAL,آئی فون کا وہ خفیہ بٹن جس سے آپ ناواقف تھے
POSITIVE,کیا آپ کو بھی لینس ڈالنے میں مسئلہ پیش آتا ہے؟ امریکی شخص نے آسان حل نکال لیا
NEUTRAL,جب ایک مصور نے تحقیق کی کہ آسمان نیلا کیوں ہے
POSITIVE,پاکستان میں الیکٹرک بسیں کب چلنا شروع ہوں گی؟ فواد چوہدری نے بڑی خوشخبری سنادی
NEGATIVE,کرونا وائرس سے کہیں زیادہ خطرناک وائرس ہم پر حملہ آور ہوسکتے ہیں!
NEUTRAL,"پرانے موبائل کو ’آئی فون 12‘ میں تبدیل کریں، مگر کیسے؟"
POSITIVE,بارہ سنگھے کی آنکھ وہ دیکھ سکتی ہے جو انسانی آنکھ بھی نہیں دیکھ سکتی
POSITIVE,گوگل نے پاکستان میں کم عمر طلبہ کیلیے آن لائن پروگرام متعارف کرادیا
NEUTRAL,کیا خلائی مشن کو سیارہ مشتری پر جنات اور پریاں دکھائی دیں؟
NEUTRAL,روس : چمگادڑوں میں کورونا وائرس ہے یا نہیں؟ تصدیق ہوگئی
POSITIVE,ونڈوز ڈیوائسز سے متعلق مائیکرو سافٹ کمپنی کا اہم اعلان
NEUTRAL,کیا ایپل کمپنی کی مصنوعات میں گوگل سرچ انجن کا آپشن ختم ہونے والا ہے؟
NEUTRAL,"انٹرنیٹ‌ کا عالمی دن: تیزترین انٹرنیٹ، پاکستان کا نمبر کونسا ہے؟"
POSITIVE,پہیے ٹانگوں میں بدلنے والا انوکھا روبوٹ تیار
NEGATIVE,روسی سائنسدان نے خود کو دانستہ طور پر کوویڈ19 میں مبتلا کرلیا
POSITIVE,متحدہ عرب امارات کا نیا مصنوعی سیارہ تیار کرنے کا اعلان
NEGATIVE,بھارت میں فیس بک کی ڈائریکٹر آف پبلک پالیسی مستعفی
POSITIVE,انسٹاگرام نے صارفین کو بڑا تحفہ دے دیا
NEUTRAL,کیا سماجی فاصلے کا تصور چمگادڑ سے ملا؟
POSITIVE,بلٹ ٹرین نے تیز رفتاری کا ایک اور ریکارڈ بنا ڈالا
NEGATIVE,آئی فون 12 استعمال کرنے والوں‌ کے ہاتھ زخمی ہونے لگے
NEGATIVE,"کورونا ویکسین سب پر اثر کرے گی یا نہیں، برطانوی سائنسدان کا خدشہ"
POSITIVE,گوگل کا پاکستانی طالب علموں کے لیے اہم قدم
NEUTRAL,اگر گاڑی کے ٹائر معیاری ہوں تو پٹرول کی کتنی بچت ہوسکتی ہے؟
NEUTRAL,کیا آپ تصویر میں موجود مختلف ایموجی تلاش کرسکتے ہیں؟
NEGATIVE,"کورونا وائرس اب نئے انداز سے انسان پر اثر انداز ہوگا، ماہرین پریشان"
POSITIVE,ناسا نے چاند پر پانی کی موجودگی کی تصدیق کردی
POSITIVE,فیس بک نے نئی سروس متعارف کرادی
NEUTRAL,اسکائپ کے میٹ ناؤ فیچر میں تبدیلی کا فیصلہ
NEGATIVE,فیس بک پر فردِ جرم عائد ہونے کا امکان
NEUTRAL,مشہور گیم پیک مین حقیقت بن گیا
NEUTRAL,ہواوے نے گوگل کو بڑا جھٹکا دے دیا
POSITIVE,واٹس ایپ میسجز سے تنگ صارفین کے لیے زبردست فیچر
POSITIVE,فیس بک کا ‘سپریم کورٹ’: آئیڈیا حقیقت بن گیا!
NEGATIVE,جانوروں کو زندہ دفنانے کا انکشاف
POSITIVE,5000 سال قدیم آپریشن ہوئی کھوپڑی دریافت
POSITIVE,فواد چوہدری نے نیٹ فلیکس استعمال کرنے والے پاکستانیوں‌ کو خوش خبری سنادی
NEUTRAL,"ٹیکنالوجی کی دنیا میں انقلاب، مرچ کی تیزی کے نتائج بھی موبائل اسکرین پر"
POSITIVE,واٹس ایپ نے کاروباری افراد کو خوشخبری سنادی
POSITIVE,ویڈیو گیم کھیلنے والوں کے لیے خوشخبری
NEGATIVE,"پاکستان مخالف پروپیگندا، پی ٹی اے کا ٹویٹر انتظامیہ سے رابطہ، کارروائی کا مطالبہ"
POSITIVE,"خلا بازوں کو ملی تاریخی کامیابی، ناسا نے تصاویر اور ویڈیوز جاری کردیں"
POSITIVE,اسنیپ چیٹ کی آمدنی میں اضافہ
POSITIVE,"اب روبوٹ تانگہ بھی چلائیں گے، ویڈیو وائرل"
NEGATIVE,ری ٹویٹ کے حوالے سے نئی پابندی عائد
NEGATIVE,امریکا نے گوگل پر مقدمہ دائر کردیا
POSITIVE,سائنس وٹیکنالوجی میں عمان نے اہم سنگ میل عبور کر لیا
NEUTRAL,کمپیوٹر پر واٹس ایپ استعمال کرنے والے صارفین کے لیے بڑی خبر
POSITIVE,واٹس ایپ نے صارفین کی دیرینہ خواہش پوری کردی
POSITIVE,"پانی میں‌ چمکنے والی پُراسرار مچھلی، ویڈیو دیکھیں"
NEUTRAL,موسمیاتی تبدیلیوں کے حوالے فیس بک کا اہم اعلان
POSITIVE,گوگل نے اپنے صارفین کو بڑی خوشخبری سنادی
NEGATIVE,کرونا کو فراڈ سمجھنے والا انفلوئنسر خود وبا کا شکار
POSITIVE,"حیران کن خبر، چاند پر 4 جی انٹرنیٹ، مگر کیسے؟"
POSITIVE,جاپان: کرونا وائرس کی تشخیص کا جدید ترین آلہ ایجاد
POSITIVE,کہاں کتنے لوگ ہیں؟ اب گوگل میپس پر تفصیلات حاصل کریں
POSITIVE,گنج پن ختم کرنے اور بال اُگانے والا ’ہیلمٹ‘ تیار
POSITIVE,بچے کا وہ کارنامہ جس نے دنیا بھر کے سائنس دانوں کو حیران کر دیا
NEUTRAL,"سمندر میں‌ کیا نظر آیا، ماہرین بھی حیران"
POSITIVE,"کراچی کے طلبا کا اعزاز،حادثے سے بچاؤ کا اسمارٹ ہیلمٹ تیار کرڈالا"
NEUTRAL,کرونا وبا: جاپان کی معروف دوا ساز کمپنی کی حکومت سے درخواست
NEUTRAL,زوم ایپ استعمال کرنے والے صارفین کے لیے بڑا اعلان
NEGATIVE,انٹرنیشنل خلائی اسٹیشن کو آکسیجن فراہم کرنے والا نظام خراب ہوگیا
NEGATIVE,روئے زمین اور زندگی سے متعلق پریشان کُن حقائق اور انکشافات
POSITIVE,"کراچی، چوتھی جماعت کے طالب علموں کے معصومانہ سوالات، عالمی خلا بازوں نے جواب دے دیا"
POSITIVE,کرونا کی تشخیص پانچ منٹ میں‌ ممکن
NEGATIVE,"نمی والے مقامات پر کرونا کا تیزی سے پھیلاؤ، سپرکمپیوٹر کی تہلکہ خیز فوٹیج"
NEGATIVE,فیس بک نے بڑی پابندی عائد کردی
NEGATIVE,یوٹیوب کا بڑی پابندی عائد کرنے کا اعلان
NEUTRAL,پب جی سیزن 9 کے حوالے سے زبردست خبر
POSITIVE,"آئی فون کے چار نئے سیٹ متعارف، قیمتوں کا اعلان"
POSITIVE,عام سا نظر آنے والا خاص چشمہ
POSITIVE,کورونا وائرس : سائنسدان سو سال پرانی ویکسین سے پر امید
NEGATIVE,بلیک ہول نے ستارے کو اچانک اپنے اندر کھینچ لیا
NEUTRAL,نیا آئی فون 12 کیسا اور کتنے کا ہوگا؟ راز فاش ہوگیا
NEGATIVE,"پابندی سے قبل ٹک ٹاک پر کس قسم کا مواد بہت زیادہ شیئر ہو رہا تھا، انکشاف"
POSITIVE,نوکیا کے سستے فور جی فون متعارف
NEGATIVE,ٹویٹر صارفین کے لیے قواعد مزید سخت
POSITIVE,آواز سے دگنی رفتار سے سفر کرنے والا طیارہ متعارف
NEUTRAL,وفاقی وزیر کا ٹک ٹاک پر عائد پابندی ختم کرنے کا مشروط اعلان
NEUTRAL,آج کی تاریخ منفرد کیوں؟ وجہ جانیے
NEGATIVE,کورونا ویکسین : 5لاکھ سے زائد شارکس کی زندگیاں خطرے میں پڑگئیں
POSITIVE,کوے کی ذہانت آپ کو حیران کردے گی
NEUTRAL,"سائنسدانوں کی مریخ پر نئی دریافت، ماہرین خود چونک اٹھے"
NEGATIVE,"عمان: واٹس ایپ صارفین ہوجائیں ہوشیار، 3 سال جیل اور 5 ہزار ریال جرمانہ ہوسکتا ہے"
NEGATIVE,"کرونا وائرس مریض نئی پریشانی میں مبتلا ہوگئے، تحقیق میں انکشاف"
NEUTRAL,"امریکی صدارتی انتخابات، فیس بک نے اہم اعلان کردیا"
POSITIVE,"مفت کالز، گوگل نے صارفین کو خوشخبری سنادی"
POSITIVE,فیس بک اور انسٹاگرام صارفین کے لیے ایک ہی میسنجر متعارف
NEGATIVE,فیس بک پر مقبول ترین گیم رواں سال بند کردیا جائے گا
POSITIVE,کرونا کی تشخیص کیلئے اسمارٹ واچ اور رنگ تیار
POSITIVE,امارات کا مریخ کے بعد چاند پر مشن بھیجنے کا اعلان
NEGATIVE,"سعودی عرب، اسنیپ چیٹ پر مشہوری کا شوق، نوجوان گرفتار"
POSITIVE,روسی کورونا ویکسین کے ٹرائلز کا آغاز
POSITIVE,اونٹ کے کوہان جیسا دمدار ستارہ عوامی نمائش کیلئے پیش
NEUTRAL,واٹس ایپ میں اہم فیچر کی آزمائش
NEGATIVE,گوگل میٹ صارفین کے لیے بری خبر
POSITIVE,"ٹویٹر کا نیا فیچر، ری ٹویٹ سے قبل آئے گا اہم پیغام"
NEUTRAL,آئی فون کے متوقع سیٹ کی تصاویر اور تاریخ سامنے آگئی
POSITIVE,انسٹاگرام ٹک ٹاک کو سخت ٹکر دینے کے لیے تیار
NEUTRAL,ویڈیو گیم بچوں کی ذہنی نشوونما کیلئے مفید ہے یا نقصان دہ؟ نئی تحقیق نے حیران کردیا
NEUTRAL,انٹرنیٹ صارفین کیلئے 10 سال بعد ایک نئی تبدیلی
POSITIVE,واٹس ایپ جلد فیچرز کا گلدستہ پیش کرے گا
NEUTRAL,پی ٹی اے کا ایک بار پھر ٹک ٹاک سے مطالبہ
POSITIVE,کورونا وائرس : گوگل نے نیا فیچر متعارف کرا دیا
NEGATIVE,"ٹک ٹاک کا بڑے پیمانے پر کریک ڈاؤن، 1 کروڑ چالیس لاکھ ویڈیوز ڈیلیٹ"
POSITIVE,"جاپان نے کرونا کا توڑ نکال لیا، اب وائرس ختم ہوسکتا ہے"
POSITIVE,خلا کی تسخیر کے لیے متحدہ عرب امارت کا اہم اقدام
POSITIVE,کورونا ویکسین : روس نے آئندہ سال تک بڑے منصوبے کی تیاری کرلی
POSITIVE,"واٹس ایپ صارفین کیلئے بڑی خوشخبری، نیا اور حیرت انگیز فیچر"
POSITIVE,رواں سال 4 نئے آئی فونز متعارف کروائے جانے کا امکان
NEUTRAL,گوگل نے بڑی تبدیلی کردی
POSITIVE,ڈھائی ہزار سال قدیم 14 تابوت دریافت
NEUTRAL,"موبائل ایپ پر پابندی، حکومت فیصلے کے برخلاف عدالت کا بڑا حکم"
NEGATIVE,سائبر حملے کی وجہ سے خاتون کی موت
NEUTRAL,"ٹک ٹاک اور وی چیٹ پر  کب سے پابندی ہوگی، دن اور تاریخ سامنے آگئی"
NEGATIVE,"جوا کھیلنے کے لیے بنائی گئی بھارتی ایپ پکڑی گئی، گوگل کا بڑا ایکشن"
NEUTRAL,ریمڈیسیور انجیکشن کی قیمت سے متعلق نیا فیصلہ آ گیا
NEGATIVE,سبز چائے کے یہ نقصانات آپ کو حیران کردیں گے
NEUTRAL,30 سال کی عمر کے بعد یہ کام کرنا ضروری!
POSITIVE,ٹی ٹری آئل: جلد کے تمام مسائل کا حل
NEUTRAL,کیا آپ عرق گلاب کے یہ فوائد جانتے ہیں؟
POSITIVE,رمضان المبارک اور خربوزے کے فوائد
NEUTRAL,ماہ رمضان میں کیسی غذائیں فائدہ مند ہیں؟
POSITIVE,ذیابطیس مریضوں کے لیے 3000 کلینکس کا منصوبہ شروع
NEUTRAL,دل کے مریضوں کے لیے ڈرپ اینڈ شپ پلان نافذ کرنے کا فیصلہ
NEGATIVE,کرونا وائرس کس جانور سے پھیلا تھا؟ نئی تحقیق
NEUTRAL,دانتوں کی صحت کا دن: دانتوں کا خیال کیسے رکھا جائے؟
POSITIVE,پولیو مہم: فرانسیسی ایجنسی کی پاکستان کیلیے 5.5 کروڑ ڈالر کی فنڈنگ
NEGATIVE,نیند کے مسائل صحت کی خرابی کی طرف اشارہ
POSITIVE,پولیو کا خاتمہ: فرانس ساڑھے 5 کروڑ ڈالر دے گا
POSITIVE,پاکستان میں کرونا وائرس سے صحت یابی کی شرح 98 فی صد رہی
NEGATIVE,"کرونا کی یومیہ بلند ترین 100 فی صد شرح حیدر آباد میں ریکارڈ، ایک ٹیسٹ وہ بھی پازیٹو"
NEUTRAL,نئی تحقیق نے ڈپریشن کے فوائد بتا دیئے
POSITIVE,یہ پتے صحت کے لیے انتہائی مفید
NEUTRAL,کیا آپ ان معمولی بیجوں کو کھانے کے فوائد جانتے ہیں؟
NEGATIVE,نیند کا عالمی دن: کم سونا کن مسائل میں مبتلا کرسکتا ہے؟
NEGATIVE,پختونخواہ سے سال 2023 کا پہلا پولیو کیس رپورٹ
NEUTRAL,رمضان المبارک میں ان باتوں کا خیال رکھیں
POSITIVE,جلد کی حفاظت کیلئے چند بہترین طریقے
NEGATIVE,"نمک کا بے جا استعمال، عالمی ادارہ صحت نے خبردار کردیا"
NEGATIVE,سوزش کا سبب بننے والی عام وجوہات
NEUTRAL,کیا انسان کا دونوں گردوں کے بغیر زندگی گزارنا ممکن ہے؟
POSITIVE,یہ لڈو کھائیں توانائی کا خزانہ پائیں
POSITIVE,یہ عادات ترک کریں اور جلد بڑھاپے سے بچیں
NEUTRAL,کھانے میں نمک کا کم استعمال کرنا کتنا نقصان دہ ہے؟
NEUTRAL,گردوں کے امراض سے کیسے بچیں؟ ماہر امراض گردہ کے مشورے
NEUTRAL,گردے کے امراض میں مبتلا افراد ہوجائیں ہوشیار
NEGATIVE,عرق النسا: زندگی کو مشکل بنا دینے والا کمر اور ٹانگوں کا درد
NEUTRAL,کیا آلو واقعی موٹاپے کا ذمہ دار ہے؟
POSITIVE,یادداشت کی خرابی سے بچنے کا آسان طریقہ
NEGATIVE,ایچ تھری این ٹو وائرس کیسے تباہی پھیلارہا ہے؟
NEGATIVE,پاکستان میں 60 فیصد سے زائد خواتین موٹاپے کا شکار
NEUTRAL,امتحانات کی ٹینشن اور خوف کو کیسے کم کیا جائے؟
NEGATIVE,"بھارت میں نئی وبا کا پھیلاؤ، متعدد بچے جاں بحق"
NEGATIVE,الرٹ: جان بچانے والا انجکشن خطرناک قرار
NEGATIVE,بھارت نے کھانسی کے شربت بنانے والی کمپنی کے 3 ملازمین کو گرفتار کر لیا
POSITIVE,پاکستان میں پہلی مرتبہ خون کے خودکار تجزیے کا نظام نصب
NEGATIVE,منہ کے کینسر کی خاموش علامات جانئے
NEUTRAL,جامنی چائے کن پتیوں سے تیار کی جاتے ہے؟
NEGATIVE,اسمارٹ فون آپ کو کن کن بیماریوں میں مبتلا کر سکتا ہے؟
NEUTRAL,رات میں پھل کھانا صحت کے لیے نقصان دہ؟
POSITIVE,آملہ کے ایسے فوائد جنہیں جان کر آپ حیران رہ جائیں گے
NEGATIVE,کیا ہاضمے کے مسائل بھی ڈپریشن کا سبب بن سکتے ہیں؟
POSITIVE,یہ عام غذا کھائیں اور وٹامن ڈی کی کمی کو دور کریں
NEGATIVE,وہ عادت جو کئی بیماریوں‌ کی وجہ بن رہی ہے!
NEGATIVE,سفید چاول کو روزانہ کھانے کا یہ نقصان جانتے ہیں؟
NEGATIVE,ملک کی 24 فیصد آبادی کو نفسیاتی صحت کے مسائل باعث تشویش ہیں: صدر مملکت
POSITIVE,اس پھل کے بے شمار فائدے جان کر آپ حیران رہ جائیں گے
NEUTRAL,نہار منہ چائے پینا صحت کے لئے کیسا؟ جانئے اہم انکشاف
NEGATIVE,قومی ادارہ صحت کے نئے سربراہ کی تعیناتی تاحال نہ ہو سکی
NEGATIVE,پمز اسپتال کے طبی فضلے کی فروخت کا انکشاف
NEGATIVE,ایک معمولی عادت جس کا نقصان خطرناک ہوسکتا ہے
NEGATIVE,پولیو ویکسین سے انکار موذی وائرس کے خاتمے کی راہ میں بڑی رکاوٹ بن گیا
POSITIVE,ایڈز کے خلاف جنگ میں ملی سائنسدانوں کو بڑی کامیابی
NEUTRAL,شوکت خانم اسپتال کراچی کے حوالے سے اہم خبر
NEGATIVE,"38 ادویات کی زیادہ سے زیادہ قیمت مقرر، نوٹیفکیشن جاری"
NEGATIVE,انسانوں میں برڈ فلو پھیلنے کی شرح خطرناک ہوگئی
NEUTRAL,کاہلی اور اکتاہٹ سے نجات کیسے حاصل کریں؟
NEGATIVE,برڈ فلو: سیکڑوں سیاہ مرغیاں ہلاک
POSITIVE,موٹاپا اور بلڈ شوگر کنٹرول کرنے والا آٹا تیار
POSITIVE,کینسر کا کم تکلیف دہ اور سستا علاج دریافت
