TITLE,ENGLISH NAAT,ENGLISH EXPLANATION
I sing your songs in your song,"I will sing your songs
I will sing your songs

Always be always, do not lose sight of this
I will sing your songs

I will sing your songs
I will sing your songs

I have drunk the illusion of your praise
I will sing your songs

This is my slogan on every lip
I will sing your songs

I will sing your songs
I will sing your songs

I am hot drink
I will sing your songs

Always be always, do not lose sight of this
I will sing your songs","
This naat is in praise of this great personality, for whom respect and gratitude have been expressed. This expression is a source of love and respect that makes this person special and respectable.

"
Fasting Naat of Muhammad,"Showing Muhammad's shrine
Showing Muhammad's shrine

Junta is showing defeat
Showing Muhammad's shrine

Yes, Roza Medina is showing
Showing Muhammad's shrine

What kind of time is he hiding?
What kind of time is he hiding?

It is raining light all the time
Showing Muhammad's shrine

Yes, Roza Medina is showing
Showing Muhammad's shrine

The light of tomorrow is diminishing
The light of tomorrow is diminishing

Muhammad's breath in every breath
Showing Muhammad's shrine

Yes, Roza Medina is showing
Showing Muhammad's shrine","
""Showing Muhammad's shrine"" This naat praises the greatness of the holy places of Muhammad, especially the shrine of the Prophet (peace be upon him). In this naat, the poet describes the glory of the Holy Places of Muhammad ﷺ, which are an unparalleled source of natural light and guidance for Muslims.

"
I am parta of Naat Sarkar,"Naat belongs to the government
Kabsurat Al-Madinah is Madinah

I am the poison of every pain and sorrow
Kabsurat Al-Madinah is Madinah

I am the poison of every pain and sorrow
Kabsurat Al-Madinah is Madinah

Shining bright shining light
The heart wanders, the house shines

Kabsurat Al-Madinah is Madinah
Kabsurat Al-Madinah is Madinah

Shining bright shining light
The heart wanders, the house shines

Every heart is in the city of Haram
I am in the city every hour of the night

Kabsurat Al-Madinah is Madinah
Kabsurat Al-Madinah is Madinah","
The naat of the government comes to me, I am in the state of Madinah. This naat describes the praise and love of Muhammad. The poet says that he praises and remembers the Prophet and remembers his love and sacrifice. He is best praising her here for how innocent, innocent and beautiful she was. Through this naat, the poet has turned the voice of his heart towards the love and knowledge of the Prophet.

"
Give color,"Rang De Mola, Rang De Mola
Rang De Mola, Rang De Mola

The man is telling me this
It has left the heart thousands of times
Have a look at me guys
I am also hiding

Rang De Mola, Rang De Mola
Rang De Mola, Rang De Mola

Amanat is here from every age
Every dream has come true here
Nothing happened here
Everything here is hidden

Rang De Mola, Rang De Mola
Rang De Mola, Rang De Mola

As long as this night lasts
As long as it lasts
This is a sunny story
Last night","
This naat is a prayer that is made in the claim of love and prophethood from Allah Almighty. Mullah (peace be upon him) means that Allah may color him with the colors of his love. Color everyone in the color of love and open their hearts in His presence.

"
Dua comes to the lab to become my wish,"3. 
A prayer comes to my lips to become my wish
Dil Machle Hai Aati Hai Bin Ke Tamna Meri
May this order also be included in my prayers
I will also get wet and become my wish

The pain you feel is even greater
I will also get wet and become my wish

It is a secret from you that there is something that remains
I will also get wet and become my wish
A prayer comes to my lips to become my wish
Dil Machle Hai Aati Hai Bin Ke Tamna Meri

May your mercy be upon me
Doomsday will be your reckoning
I want it to happen, I want it to happen, what will happen?
I will also get wet and become my wish

The pain you feel is even greater
I will also get wet and become my wish","
This poem beautifully speaks of prayers and wishes, expressing spiritual connection and closeness to God. This poem describes moments of close and guided prayer and spirituality.

"
Subhan Allah Subhan Allah,"Subhan Allah, Subhan Allah
Subhan Allah, Subhan Allah

There is sorrow in everything in the world
This is my Lord, this is the ocean of mercy
Subhan Allah, Subhan Allah
Subhan Allah, Subhan Allah

How is this world?
How is this era?
Whatever happens, happens there
Subhan Allah, Subhan Allah
Subhan Allah, Subhan Allah

In every breath is this love,
This government is in every beat
This is my Lord, the Ocean of Mercy
Subhan Allah, Subhan Allah
Subhan Allah, Subhan Allah","
Such a Lord who has created everything and who has great splendor in everything is called Subhan (Glorified and Exalted). This naat expresses the praise and love of Muhammad, may God bless him and grant him peace.

"
Sweet sweet is the name of my Muhammad,"Sweet sweet is the name of my Muhammad
Sweet sweet is the name of my Muhammad
Sarkar is mine and desires all
We will also sell less sins

Muhammad's moon shines in the heavens
What kind of messenger is Amin's friend?
Sweet sweet is the name of my Muhammad
Sweet sweet is the name of my Muhammad

Everything I see says something
The name of Muhammad is touching the heart
Sweet sweet is the name of my Muhammad
Sweet sweet is the name of my Muhammad","
This naat is about the prophethood of Muhammad (peace and blessings of Allah be upon him) which describes his position and his wonderful deeds. This naat praises the magnificence of Muhammad's prophethood and the sweetness of his name, which reflects his divine status and importance. Through this naat, the greatness, virtues and love of Muhammad (peace and blessings of Allah be upon him) have been described, which shows his status in a unique and meaningful light.





"
"Sir, my eyes remained in Madin","Sir, my eyes are left in Medina
I love you too
My house is left in Madinah

The world has left my path
Generosity poured out in all the circles
Religions are not left in my house
Jan Bhi Lag Jani O
My house is left in Madinah

I have forgotten, do not think of my Lord
I forgot to make your door
My heart has come to Medina
Jan Bhi Lag Jani O
My house is left in Madinah

Your home has left me
I was hiding in myself
I was your crazy dog
Lost in your ways
I want you
I am in your circumstances
Jan Bhi Lag Jani O
My house was left in Madinah

Sir, my eyes are left in Medina
Jan Bhi Lag Jani O
My house was left in Madinah","
This naat is a loving tradition spoken by a sincere Muslim who is describing the depths of his heart's sorrow, love and devotion. Here, the reciter is assured of his Lord's mercy, love and servitude, which reveals a subliminal side. Naat in it are beautiful expressions that point to the loving and compassionate Allah.

"
I am the slave of Panjatan,"I am the slave of Panjatan
I am the slave of Panjatan

Those who go to my Kaaba
Those who fall on the ground
Charity continues, my Kaaba
How does it feel?
I am the slave of Panjatan

My imagination is the light here
My faith is the certainty here
My pledge is the forehead here
I am the slave of Panjatan

I am the slave of Panjatan
I am the slave of Panjatan

My hamdam is natural here
My servant is the prophet here
My life stream is every time here
I am the slave of Panjatan

I am the slave of Panjatan
I am the slave of Panjatan","
It seems that I am a slave of a synagogue in the presence of Allah. My Kaaba sees those who seek the house of Allah and realizes what is reflected on the earth. For me the light here and my faith are sure"
The location of your streets,"Under your streets
He blew the wind of Mecca
The wind of mercy blew
The world has seen
Everything is here
Greetings of the heart
Under your streets

Swings shine
And shiny
Moonlit nights
on your face
That beauty of the night
Why is it hidden?
The light of the heart became
on your face

Under your streets
He blew the wind of Mecca
The wind of mercy blew
The world has seen
Everything is here
Greetings of the heart
Under your streets

Every wish is fulfilled by your tail
I sacrifice my life to you
Every moment is happy with your mention
The melody is yours, every heart is very happy

Under your streets
He blew the wind of Mecca
The wind of mercy blew
The world has seen
Everything is here
Greetings of the heart
Under your streets","
This naat praises Allah's blessings and His blessings. In it, the poet presents his prayers and wishes to Allah Almighty. He feels the love and mercy of Allah everywhere.

"
Marhaba or Mustafa,"Marhaba or Mustafa Marhaba or Mustafa
Marhaba or Mustafa Marhaba or Mustafa

Marhaba or Mustafa Marhaba or Mustafa
Marhaba or Mustafa Marhaba or Mustafa

It is from you that it always lives
It is from you that it always lives

Marhaba or Mustafa Marhaba or Mustafa
Marhaba or Mustafa Marhaba or Mustafa

The beauty of your face is the creation of Parchma or Mustafa
The beauty of your face is the creation of Parchma or Mustafa

Marhaba or Mustafa Marhaba or Mustafa
Marhaba or Mustafa Marhaba or Mustafa

When someone is worried, then the secret or mustafa of mercy
When someone is worried, then the secret or mustafa of mercy

Marhaba or Mustafa Marhaba or Mustafa
Marhaba or Mustafa Marhaba or Mustafa","
This naat describes the greatness and love of Mustafa, may God bless him and grant him peace. In this naat, the exaltation of the position of Mustafa, peace be upon him, his love, the greatness of his mercies, and his blessings have been praised. Through this His love and power are expressed which creates an interesting expanse of love and reverence for Him in everyone's heart.

"
Oh green-domed ones,"Oh green-domed ones, pray for approval
Let us forget every loss, stand firm on the dome

Oh green-domed ones, pray for approval
Let us forget every loss, stand firm on the dome

Every darkness became bright with your coming
The air of mercy shines on the earth and the sky

Oh green-domed ones, pray for approval
Let us forget every loss, stand firm on the dome

We also got the share of your blessings
O Lord of the worlds, show us also

O green-domed ones, pray for approval
Let us forget every loss, stand firm on the dome","
This Naat is a supplication that specifically wishes that Allah relieves us from every sorrow and always keep our feet firmly on the dome. In the naat, there is a mention of the dome, which is a symbol of Allah's mercy. The poet is asking Allah's blessings to keep a firm foot on the dome and is praying to forget every coming sorrow. In this naat, the effects of Allah's blessings are described through the things that shine on the earth and in the sky.





"
There is a sky of light,"There is light, everywhere at night
The shining moonlight is in the nights

There is light, everywhere at night
The shining moonlight is in the nights

There is light, everywhere at night
The shining moonlight is in the nights

There is light, everywhere at night
The shining moonlight is in the nights

Noor-e-Mustafa is the material of light
The nights are everywhere, the shining moonlight is in the nights

Always shines, is in the lights
The moonlight is in the nights, it is in the nights

There is light, everywhere at night
The shining moonlight is in the nights

Noor-e-Mustafa is the material of light
The nights are everywhere, the shining moonlight is in the nights","
Such is the light of Allah that there is something of light everywhere. This light shining in the moonlight of the night is felt everywhere. This is the beautiful sight of Noor-e-Mustafa which is everywhere at night and everywhere even in moonlit nights. In this poem, Allah's mercy is magnified and his earthly and extraterrestrial love is talked about.

"
May you be the crown prince of the harem,"Tajdar-e Haram, be the eye of grace
Tajdar-e-Haram, be the eye of grace

Tajdar-e-Haram, be the eye of grace
Tajdar-e-Haram, be the eye of grace

Tajdar-e-Haram, be the eye of grace
Tajdar-e-Haram, be the eye of grace

I have seen Medina, the scene of nature
I have seen Medina, the scene of nature

Tajdar-e-Haram, be the eye of grace
Tajdar-e-Haram, be the eye of grace

Tajdar-e-Haram, be the eye of grace
Tajdar-e-Haram, be the eye of grace

Jamal-e-Mustafa, made the world shine
Jamal-e-Mustafa, made the world shine

Tajdar-e-Haram, be the eye of grace
Tajdar-e-Haram, be the eye of grace

Tajdar-e-Haram, be the eye of grace
Tajdar-e-Haram, be the eye of grace

Tajdar-e-Haram, be the eye of grace
Tajdar-e-Haram, be the eye of grace","
The subject of this naat shows the greatness and loving feelings of Islamic social culture. In the poetry of Naat, respect for the presence of Allah and Haram Sharif has been clarified. The beauty of Mustafa (peace be upon him) has been described and what is the feeling of seeing the grandeur and love of the scene of Madinah Sharif. This naat conveys a feeling of love, respect, and reverence that moves the hearts of Muslims and instills a sense of goodness in their spirituality."
The Prophet has come.,"The guests have arrived
They have arrived
Mukhtar is Qayamat
They have arrived

They have arrived
They have arrived

Let's see sometime
These days have come

Let's see sometime
These days have come

The heart is the crescent
On the land of Medina
The heart is the crescent
On the land of Medina

They have arrived
They have arrived
Mukhtar is Qayamat
They have arrived

It happened to the martyrs
Numbers my friend
It happened to the martyrs
Numbers my friend

The heart is the crescent
On the land of Medina
The heart is the crescent
On the land of Medina

They have arrived
They have arrived
Mukhtar is Qayamat
They have arrived

happened to you
happened to you
happened to you
happened to you

They have arrived
They have arrived
Mukhtar is Qayamat
They have arrived","
It is in the praise of Naatullah, in which the mere existence of Prophet Muhammad, may Allah bless him and grant him peace, is described with love and respect. In this naat, the beginning of the arrival of Muhammad (peace and blessings of Allah be upon him) and his great glory are praised. In this Naat, Muhammad (peace be upon him) is presented as the ruler of the Day of Resurrection, who is the center of attention and love of all. Through this naat, the holy influence and greatness of Muhammad (peace and blessings of Allah be upon him) have been presented.

"
Your name is Khawaja Moinuddin,"3. 
Your name is Khawaja Moinuddin
It is always high

Be exalted every step of discussion
It is always high

The gatekeeper hair is my generosity
Blessing is Khawaja Moinuddin

All time is dedicated to you
It is always high

Khawaja's words have come to my heart
Lives at all times

Your name is Khawaja Moinuddin
It is always high","
There is no such thing which is not given in the Naat of Khawaja Moinuddin by the Naat Khan of our profession. Khwaja Moinuddin's Naat Khan has touched the hearts of people through his highly acclaimed publications and mesmerizing songs. This naat praises Khawaja Moinuddin's academic, religious and karmic virtues. In this naat, his highness and his great grace have been praised in all times, which always lives in the hearts of people.

"
Dua comes to the lab to become my wish,"A prayer comes to my lips to become my wish
May life be like a candle, my God

Heal the distant world
It is from the illusion of those who know

Please keep this in my prayers
You have forgiven my sins

Don't let it stop my desire
A prayer comes to my lips to become my wish

May these paths of flowers sweep you away
What is the secret of your whereabouts?

Living in the paths of flowers is mine
A prayer comes to my lips to become my wish","
This nath is in the form of a prayer that evolves the words of the heart while communicating with God. In this verse, life is likened to a candle, lit by God's mercy. The salve of the problems of the world has been sought from God and the forgiveness of one's sins has also been mentioned in this prayer. In this verse, the desire of the learned to get away from illusion and the importance of being steadfast in their demand is also described in an ascetic way.

"
I should go to sleep or Mustafa,"Should I go to sleep or Mustafa, where did you leave me?
My head is at your feet, my heart is swept away

I speak at night, since I thought of you
I say this every time, since you parted

Should I go to sleep or Mustafa, where did you leave me?
My head is at your feet, my heart is swept away

Thy ornaments left, is any color there
Ever since I floated, I looked everywhere

Should I go to sleep or Mustafa, where did you leave me?
My head is at your feet, my heart is swept away","
This Nath is a language of love and prayer that expresses spirituality and love in remembrance of Mustafa and his departure. In this verse, the paths of love and loyalty are discussed, which correct the heart condition of those who follow the path of Mustafa.

"
Tani Noor made a veil at the Noori event,"Tani Noor made a veil at the Noori event
The light shines on his feet

What is the matter with the beauty of God?
Har Dil Shaheen Ka Hawa Hai Salmani

There are so many desires flying around
There is lightning like snakes

This is the color
It is the light of the lamps

Tani Noor made a veil at the Noori event
The light shines on his feet

What is the matter with the beauty of God?
Har Dil Shaheen Ka Hawa Hai Salmani

There are so many desires flying around
There is lightning like snakes

This is the color
It is the light of the lamps","
This nath is in the form of a prayer that evolves the words of the heart while communicating with God. Here the love and light of the gathering of light is spoken, which makes every heart happy by seeing the glory of God. In this Nath, God's love for Benazir Jamal, like Shaheen, makes every heart eager. This verse speaks of many wishes and the hope of their fulfillment, which is illustrated by the example of a light beam.

"
Go ahead,"Jaluh Janan Jaluh Janan
Jaluh Janan Jaluh Janan

God is the role of the scholar
Be yours in every language
Ho ho Jaluh Janan
Jaluh Janan Jaluh Janan

It's bright every night since
Every story is full of nights
Ho ho Jaluh Janan
Jaluh Janan Jaluh Janan

Your talk in love
Seeing you is the path of every heart
Ho ho Jaluh Janan
Jaluh Janan Jaluh Janan

My presence is always there
Seeing you is the work of every hour
Ho ho Jaluh Janan
Jaluh Janan Jaluh Janan","
This naat is to praise God's glory and powers that exist in all ages. This naat is to glorify God's glory, majesty, and character. In it, every beauty and beauty of life is given as an example of the great view of God"
Whoever fell in love with you,"Whoever fell in love with you
I left where I left

He does not leave the house day and night
Why should I say every way?
I left last night

Whoever fell in love with you
I left where I left

There is a restless heart
I am in my heart
I am heartless

Whoever fell in love with you
I left where I left

He does not leave the house day and night
Why should I say every way?
I left last night

Whoever fell in love with you
I left where I left","
It is in the form of love that expresses the words of the heart. In it, the person is drowning in his love and has come to another place and describes the condition of his restless heart. He does not leave the house day and night, and talks about his last nights"
"Rang Chariya Madinwala
","Color Bird Medina
There is a shadow on the head
There is a shadow on the head

The head of the Prophet is blessing
There is a shadow on the head
There is a shadow on the head

Lone is the green land
Every face is smiling
Every face is smiling

The bright night is shining
The heart will fulfill the desire

Color Bird Medina
There is a shadow on the head
There is a shadow on the head

At night he is with the stars
Madinah shines in the heart
Madinah shines in the heart

There is light in Gulzar
Color in flowers

Color Bird Medina
There is a shadow on the head
There is a shadow on the head","
This naat is a mystical statement that describes the beauty, light and fragrance of Madinah Sharif. In this naat, emphasis is placed on the beloved special scenery and nature of Madinah, which creates peace and contentment in the hearts of people. In this naat, the scenery of Madinah is described in a colorful, beautiful and magnificent manner that gives new vigor to the existence of a smiling life.

"
Fasting Naat of Muhammad,"Fasting of Muhammad Fasting of Quran
Fasting light on hearts

There is courage, there is smile, there is nakedness
How are you brother?

There are thousands of bubbles over the head
God has been in the flowers

Even in the showers of mercy
Restless even at night

Crying all night for a lifetime
Cry every day every night every moment

Where did we go from?
We are the events of Karbala

Fasting of Muhammad Fasting of Quran
Fasting light on hearts","
This verse describes the great position of Muhammad, may God bless him and grant him peace. The fast of Muhammad, may God bless him and grant him peace, is the fast of the Qur'an, which fills the hearts with light. This verse describes the spiritual identity of Muhammad, peace be upon him, and the excellence of his character, which is the result of his obedience and service.

"
O Hasnain's grandfather,"O Hasnain's grandfather, accept my invitation
I am proud, I am the mujahideen of my beauty
O Hasnain's grandfather, accept my invitation

Not in the nights of compassion
These stars do not bathe, I fly
How can I take these stars?
He does not bathe in the night of compassion

O Hasnain's grandfather, accept my invitation
I am proud, I am the mujahideen of my beauty
O Hasnain's grandfather, accept my invitation

You will not understand this, I in the flowers at night
I am hiding at their feet
I am hiding at their feet

There is a freshness on my lips
There is peace in my heart
This is the desire of my soul
I am crazy about them

O Hasnain's grandfather, accept my invitation
I am proud, I am the mujahideen of my beauty
O Hasnain's grandfather, accept my invitation","
This nath is in the form of a prayer that evolves the words of the heart while communicating with God. In this verse, God is prayed to accept his invitation. In this dua, Naat is recited in the night full of compassion and stars are mentioned here that shine in the state of Naat.

"
My prophet dear prophet,"My prophet dear prophet
My prayer is on the lips of my heart
Whether filled from where this questionnaire
La ilaha illa Allah, my prophet dear prophet

World leaders, nothing else
We need them, we have nothing
We want them, we have nothing
My prophet dear prophet

Wherever I go, I am surrounded by flowers
My prophet dear prophet

I have believed you in every prayer
My color is I believed in you
My prophet dear prophet

My prophet dear prophet
My prayer is on the lips of my heart
Whether filled from where this questionnaire
La ilaha illa Allah, my prophet dear prophet

World leaders, nothing else
We want them, we have nothing
We want them, we have nothing
My prophet dear prophet

Wherever I go, I am surrounded by flowers
My prophet dear prophet

I have believed you in every prayer
My color is I believed in you
My prophet dear prophet","
This naat is an expression of love and literature in two languages, which was done in favor of the Messenger of Allah, may God bless him and grant him peace. In it, prayers and words of love have been said in their favor. In this naat, along with the words of love, monotheism of God is also mentioned which is the main component of the message of this naat.

"
It will resonate in every country,"It will resonate in every country
Among thousands of scholars
It will affect every language
Security Method
Will dwell in every heart
Among thousands of scholars
Will dwell in every heart

What used to happen a few days ago in the world
What used to happen a few days ago in the world
Allah made him great
Allah made him great

Every color used to be very muted now
Every color used to be very muted now
He gave some color by walking in each and every one and in each one
He gave some color by walking in each and every one and in each one

It will resonate in every country
Among thousands of scholars
It will affect every language
Security Method
Will dwell in every heart
Among thousands of scholars
Will dwell in every heart

May Allah's blessings be everywhere
May Allah's blessings be everywhere
Being like the Prophet of Allah, the head is everywhere
Being like the Prophet of Allah, head everywhere

It will resonate in every country
Among thousands of scholars
It will affect every language
Security Method
Will dwell in every heart
Among thousands of scholars
Will dwell in every heart","
This naat is a beautiful spiritual text that praises the virtues and qualities of Allah and the Prophet. This naat conveys a message of health, peace and abundance of love that will resonate in every country and language.

"
"Sir, my eyes remained in Madin","Sir, my eyes were left in Madina

I want my Lord to be with me

I want my Lord to be with me

The flight came. came. The flight came.

In every breath in every breath
Heartbroken
I want my Lord to be with me

I want my Lord to be with me

The flight came. came. The flight came.

Sir, my eyes were left in Medina

You gave every wound
You gave me every pain
Lord, every desire of yours has been given to my heart

Every time, Najiba remained
Every time the holy Medina
The flight came. came. The flight came.

In every breath in every breath
Heartbroken
I want my Lord to be with me

I want my Lord to be with me

The flight came. came. The flight came.

Sir, my eyes were left in Madina","
This Naat ""Agha Meriyan Akhyan"" describes the condition and love of Madinah Manoor. In the stanza of the Naat, the poet is talking about his heart and feels the visit of Madinah Manoor in his eyes. In this naat, the verse is presented in a deep and special way through Mushaira and beautiful statements.

"
I sing your songs in your song,"Tera Khwan Mein Tere Geet Village

This is the only wish at all times

The house is empty and it is raining

Muharram is hidden like the dark night

Every breath is every breath, just this breath on the lips

Muharram is hidden like the dark night

Tera Khwan Mein Tere Geet Village

This is the only desire at all times

Blow your lips song night night night

Let go of the breath

Blow your lips song

Let go of the breath

This is the flower garden

Salutations to the wind

Salutations to the wind in your wings every single night

Every single night in your arms

Tera Khwan Mein Tere Geet Village

This is the only desire at all times

The house is empty and it is raining

Muharram is hidden like the dark night

Every breath is every breath, just this breath on the lips

Muharram is hidden like the dark night

Tera Khwan Mein Tere Geet Village

This is the only desire at all times","
This poem describes the life of love and passion. The poet longs to be with his beloved all the time, and express his feelings of love with her. He sings her songs in his thoughts, and wants to make every moment of her a part of his longing. There is a beautiful beauty in this poem that describes his feelings for his beloved.

"
A traveler's destination in the world is your grave,"O traveler of the world, your destination is your grave

Thousands of years will not meet, breaking is a journey

It's a short trip

O traveler of the world, your destination is your grave

Thousands of years will not meet, breaking is a journey

Destinations will not even reach the palm of your hand
Thousands of years will not be found, only by breaking is the journey

It's a short trip
O traveler of the world, your destination is your grave

This is what my heart says
That is the meaning of life

Thousands of years will not meet, breaking is a journey
It's a short trip

O traveler of the world, your destination is your grave

Leave me alone in life
This is my blanket, this is my gap

Someone has to give me something lonely

Why don't you come and give me a partner, someone leave me
O traveler of the world, your destination is your grave

Thousands of years will not meet, breaking is a journey

O traveler of the world, your destination is your grave

Thousands of years will not meet, breaking is a journey","
This poem is about the hardships and encounters of a traveler's life. It reminds the traveler that his true destination is death, and that the journey must face hardships and complications. Nevertheless, there is a need to understand the importance and purpose of life.

"
