LABELS,NEWS,SNO
POSITIVE,تمام مسلمانوں کو نیا اسلامی سال مبارک ہو۔ ,20
NEUTRAL,"جو بُرائی کو نہیں پہچانتا ، وہ زیادہ قریب ھے کہ اُس میں واقع ھو جائے ۔ سیدنا عمر فاروقؓ ",21
NEUTRAL,جو ھو سکے تو تنہائیوں میں پڑھ لینا تمہارے لئے دل کی کتاب لایا ھوں ۲/۲ ,22
NEUTRAL,اصلی صرف طالبان / لشکر جھنگوی ہیں اصلی اور خالص ,23
POSITIVE,وینا ملک کا بیٹا سوشل میڈیا پر مقبولیت میں شلپا شیٹھی کے بیٹے سے آگے : کراچی۔۔۔۔۔۔۔۔۔ وینا ملک کے بیٹے ابرام خان۔۔۔ ,24
POSITIVE,جس کو اللہ کے نبی ﷺ نے شہادت کی خوشخبری دیدی۔ ,25
POSITIVE,ایم کیوایم ڈسٹرکٹ ملتان کے صدر ذیشان دلاور قریشی کی والدہ محترمہ کے انتقال پر رابطہ کمیٹی کااظہار تعزیت viNEUTRAL ,26
NEUTRAL,اتنا کام پڑا ہے اور میں کھیل رہی ہوں اردو کی بورڈ سے ,27
NEUTRAL,جنوبی پنجاب کا سارا پیسہ صرف لاہور پہ لگتاہے تب کوئی پٹواری نئیں کہتا کہ واقعی انہیں حق دو گجرات یونیورسٹی کا دکھ ہے ,28
POSITIVE,ایم کیوایم کے قائد الطاف حسین کی تصنیف ’’فلسفہ محبت ‘‘ کے انگریزی ترجمہ کی تقریب اجراء 24اکتوبر جمعہ کی شام میریٹ ہوٹل میں منعقد ہوگی ,29
POSITIVE,کھیل اور نماز الگ الگ ھیں اپ زرا پڑھا کریں ۔مینڈک اچھے نھیں ھوتے !! ,30
POSITIVE,"دبئی، پہلا ٹیسٹ: آسٹریلیا کے خلاف پاکستان کی دوسری وکٹ گرگئی: ",31
POSITIVE,"سردار بنے سے پہلے علم حاصل کرو، کہیں ایسا نہ ہو کہ سرداری کا غرور تمہیں طلبِ علم سے روک دے اور تم جاہل بن کر زندگی گذارو ۔ سیدنا عُمر فاروقؓ ",32
POSITIVE,برطانوی فوج نے افغانستان میں آخری اڈاہ بھی خالی کردیا ,33
POSITIVE,ڈات کے کهڑا هے آب عمر انٹهیک کرے گا سب کپتان نیاء بنے گا پاکستان نیاء بنے گا پاکستان انشاء آللہ ,34
POSITIVE,کون ديکھے گا اب صليبوں پر صورتيں وہ پيمبروں جيسی ميری دنيا کے بادشاہوں کی عادتيں ہيں گداگروں جيسی ,35
NEUTRAL,یہ اُڑی اُڑی سی رنگت یہ کُھلے کُھلے سے گیسو تیری صبح کہ رہی ہے تیری رات کا فسانہ! ,36
POSITIVE,جو چیز ﷲ نہ دے بندوں سے نہیں مانگنا چاہیے ۔۔ ,37
NEUTRAL,تو میں کب کہہ رہا ہوں ایساوہ تو صحیح اور غلط کی لڑائی تھی ,38
POSITIVE,شہباز شریف نے جھنگ کے سیلاب زدگان کو چیک دئے تھے ۔ وہ کل باونس ہو گئے ۔ ,39
NEUTRAL,ہاں یہی احساس پیدا کرنا ہے ,40
POSITIVE,حضرت مولانا محمود اشرف عثمانی صاحب مدظلہ حاجیوں کیلئے چند ھدایات ,41
POSITIVE,انصافی ٹائگر - عمران خان کے معذور افراد کے ساتھ گزرے سب سے قیمتی۔۔۔ ,42
POSITIVE,غم کے لاکھوں دکانداروں سے اک تبسم فروش بہتر ہے ,43
POSITIVE,مشرف کے دوست شیرافگن نے کہا تھا کہ فضل الرحمن کواس شرط پر اپوزیشن لیڈر بنایا گیا تھا کہ وہ مشرف کی پالیسیوں کی حمایت کریں گے ڈیزل کی اصلیت ,44
POSITIVE,"میرے پاس جن ہیں جو امریکا ،یورپی پارلیمنٹ کے بل لے آتے ہیں ،قادری: لاہور۔۔۔۔۔۔۔حکومت اور عوام ۔۔۔ ",45
POSITIVE,پشاور: حزب اختلاف کی جانب سے محمد علی شاہ کا نام سامنے آیا۔ ,46
NEUTRAL,ٹی وی سے فوٹو کیوں کھینچ رہیں ۔ گوگل کرکے تصویر لگا دیں :) ,47
POSITIVE,مبارک ہو۔ ہمیں آپ پہ فخر ہے ۔الله آپکو مزید کامیابیاں عطا فرمائے ۔آمین ,48
NEUTRAL,"حُقے کی انگلش کیا ہے ، ساتھ یہ بھی بتائیے کہ گٹکے کو انگلش میں کیا کہتے ہیں ۔ ",49
POSITIVE,بھائ نہ جھک مارو نہ حق بس تمیز سے زندگی گزارو ,50
NEUTRAL,ھائے کیا چیز ھے محبت بھی ۔۔۔۔۔۔۔۔ ,51
POSITIVE,ایرانی دہشتگرد امین شہیدی نے 30 اگست کو اسلام آباد میں مولانا فضل الرحمن سے انتقام کا اعلان کیا تھاوہی ہوا۔۔ بس الله نے مولانا کو بچا لیا ,52
POSITIVE,حدیثا الله کاذکر ایمان کاجھنڈا شیطان سے حفاظت کا قلعه اور بھڑکتی آگ (نارجهنم) سے نجات کاذریعه ھے )گلدستهء فقر صفحه118( ,53
POSITIVE,"ایکس نیوز۰ محرم الحرام،ایکس نیوز کی جانب سے تمام مسلمانوں ",54
POSITIVE,اردو ٹرینڈ زیادہ بہتر رہے گا کپتان ڈیزل ,55
POSITIVE,ﻭﺍﮦ ﮐﯿﺎ ﺑﺎﺕ ﮨﮯ ,56
POSITIVE,حلقہ خواتین کے تحت ملک بھر میں اجتماع عام کے سلسلے میں بریفنگ اور ملاقاتوں کا سلسلہ جاری ,57
NEUTRAL,میں چاھتا بھی یھی تھا تو بے وفا نکلے ۔تجھے سمجھنے کا کوئی تو سلسلا نکلے !! ,58
NEUTRAL,عمران بھائی اپ کے لطیفوں پر تو اب لوگ کا فی زور کا ہنستے ہیں ۔ آپ اپنے شوز کا ٹکٹ لگا لیں پیسے مل جائیں گے اور مانگنے کی شرمندگی بھی نہ ہو گی ,59
POSITIVE,تین چیزیں محبت بڑھانے کا ذریعه ھیں )1( سلام کرنا )2( دوسروں کے لیے مجلس میں جگه خالی کرنا )3( مخاطب کو بھترین نام سے پکارنا )حضرت عمر ( ,60
POSITIVE,وقت کا تقاضا ہے کہ وسائل کی منصفانہ تقسیم کے لیے انتظامی بنیادوں پر صوبے بنائے جائیں ۔ انھیں مالی وسیاسی اختیارات دئے جائیں ۔ وفاق مشترکہ وحدت بنے ۔ ,61
POSITIVE,لاہور: اگلے جلسے سے پہلے واپس آجائیں گے ۔ ,62
NEUTRAL,مک جائے نام تیرا سیاست کے فسانے سے تیرا رونا ہی بنتا ہے زمانے میں - ,63
POSITIVE,"کشکول توڑنے کا دعویٰ پاکستان کو قرضوں میں ڈبو گیا۔غیر ملکی قرضے 65 ارب ڈالر سے تجاوز۔ ہر پاکستانی 80،000 سے زائد روپے کا مقروض۔ قرضے 1600 کھرب تک پہنچ گئے ",64
NEUTRAL,ایسا آسان حدف۔ بچوں والا میچ ہو گیا یہ تو۔ ہا ہا ہا ہا ہا ,65
POSITIVE,انقلاب کی لغت میں مایوسی اور بے یقینی نہیں ہوتی۔ ڈاکٹر طاہر القادری انقلاب آنے کو ہے ,66
NEUTRAL,رَبَّنَا وَتَقَبَّلْ دُعَاءاے میرے رب اور تو میری دُعا قبول فرما آمین یا رب العالمین ,67
POSITIVE,متروک مسترد کاسہ لیسوں کی کسی بھی مارچ کی حمایت کرنا تاریخی جرم ہوگا متروک-مسترد-کاسہ-لیسوں -کی-کسی-بھی-مارچ-ک/ ,68
POSITIVE,لاہور: بڑا ہسپتال نہیں سیالکوٹ اور ہارون آباد میں چھوٹے یونٹس بنا رہی ہوں ۔ میرا ,69
NEUTRAL,ان ہتھیاروں پر پابندی لگائی جائے :دوستوں کے ساتھ ضرور شئیر کریں ۔ شکریہ۔۔۔ ,70
POSITIVE,ﻣﺎﺩﺭ ﺟﻤﮩﻮﺭﯾﺖ ﺑﯿﮕﻢ ﻧﺼﺮﺕ ﺑﮭﭩﻮ ۔ﮧﺒﺣﺎﺍﯾﺮﺍﻥ ﮐﯽ ﺑﯿﭩﯽ ﻧﺼﺮﺕ ﺑﮭﭩﻮ ﭘﺎﮐﺴﺘﺎﻥ ﮐﯽ ۔۔۔ ۔ﯽﻨﺑ ﮞﺎﻣﺍﻧﮩﻮﮞ ﻧﮯ ﺳﻘﻮﻁ ﮈﻫﺎﮎ ﮐﮯ ﺑﻌﺪ ﺑﮑﻬﺮﮮ۔۔۔ ,71
POSITIVE,"مولانا فضل الرحمن سے ملاقات کیلئے گورنر پنجاب، وفاقی وزراء، مشیروں اور مذہبی رہنماؤں کا تانتا بندھارہا ",72
POSITIVE,انشا جی اٹھو اب کوچ کرو اس شہر میں جی کا لگانا کیا ہاہاہا اور یہ کہ کر قادری صاحب شہر اقتدار پر بہت بڑا احسان کر گے ,73
NEUTRAL,لوگوں سے دھرنے کے لیے چندہ مانگنے والا اپنا 300 کنال کا بنی گالہ کا گھر کیوں نہیں پیج کر دھرنے خرچے پورے کرتا؟ ,74
POSITIVE,اردو لغت میے نیا لفظ ,75
POSITIVE,"دبئی: چوتھے دن کا کھیل ختم، آسٹریلیا کے 59 رنز، 4 کھلاڑی آئوٹ ",76
POSITIVE,قادری ﮐﺎ ﮐﻨﭩﯿﻨﺮ ﻇﮩﯿﺮ ﺍﻻﺍﺳﻼﻡ ﮐﻮ ﺍﻧﮑﯽ ﺭﯾﭩﺎﺋﺮﻣﻨﭧ ﮐﮯ ﭘﺮﻣﺴﺮﺕ ﻣﻮﻗﻊ ﭘﺮ ﺑﻄﻮﺭ ﺳﻮﯾﺌﻨﯿﺮ ﭘﯿﺶ ﮐﯿﺎ ﺟﺎﻧﺎ ﭼﺎﮬﯿﮯ ,77
POSITIVE,حنیف محمد کے پوتے شہزر محمد نے پاکستان کرکٹ میں پی آئی اے کی طرف سے سنچری بنا کر ریکارڈ بک میں اپنا نام منفرد تعارف کے طو پر درج کرا دیا ,78
POSITIVE,کراچی۔۔۔۔۔۔۔ سندھ ہائیکورٹ نے بحریہ ٹاؤن کلفٹن فلائی اوور کے خلاف حکم امتناع ختم کرتے ہوئے بحریہ ٹاؤن کو تعم۔۔۔ ,79
POSITIVE,تمام اہل اسلام کو نیا اسلامی سال مبارک ہو ۔الله پاک یہ سال ہمارے لیئے رحمتوں اور برکتوں کا باعث بنائے ہمارے حال۔۔۔ ,80
POSITIVE,بہت سے داغی آئے اور گئے لیکن کپتان اب بھی قوم کے ساتھ اسی جذبے سے کھڑاھے ,81
POSITIVE,ریالٹی تو یہ ہے ہمارے دونوں انقلابی گو نواز گو اور جلسوں کو اپنی کامیابی قرار دے رہے ہیں ۔یہ دونوں کام تو ان دھرنوں کے بغیر بھی ہو سکتے تھے ,82
POSITIVE,بالآخر تیری مصروفیت کے پیش نظریہ تہہ ہوا کے اب تجھے یاد نہ کیا جائے ,83
POSITIVE,پھلا ٹیسٹ پاکستان اسڑیلیا کے خلاف ٹاس جیت کربیٹنگ کافیصله خضربلوچ ,84
POSITIVE,تو کٹڑ مسلمان بن جا بھائی ,85
POSITIVE,خواجہ عمران نذیر نے مریضوں سے علاج معالجے کی سہولتوں سے متعلق دریافت کیا ,86
POSITIVE,"وہ جو بیچتے تھے دوائے دل،،، وہ دکان اپنی بڑھا گئے ۔ شاہراہ دستور سے عوامی تحریک کے کارکنوں کی واپسی،، سی ڈی اے نے صفائی مہم شروع کردی ",87
POSITIVE,لاہوریوں نے اجتماع عام کے لیے دل کے دروزے کھول دیے ۔ ڈونرز کانفرنس میں ڈیڑھ کروڑ سے زائد رقم جمع کروا دی ,88
NEUTRAL,عیش کرو۔۔کم پڑجائے تو بکرے کا سر بھی ہے ,89
NEUTRAL,ابھی تو پارٹی شروع ہوئی ہے ,90
POSITIVE,سائن آوٹ کرو اور کوئی اچھی سی کتاب پڑھو۔آپ زیادہ آوٹنگ نہیں کرتے شائد۔ ٹویٹر سے باھر بھی نکلا کرو ۔ ,91
NEUTRAL,جس عہد میں لٹ جائے فقیروں کی کمائی ۔۔۔اس دور کے سلطاں سے کو ئی بھول ہو ئ ہے ۔۔۔ ,92
NEUTRAL,عوامی تحریک کے رہنماء کی کارکنوں کو آبائی علاقوں میں جا کر بلدیاتی انتخابات کی تیاری کرنے کی ہدایت ,93
NEUTRAL,حضرت عمرؓ کی شان زاہدانہ ,94
NEUTRAL,اس کی خاطر ھم نے اس کو چھوڑ دیا ,95
POSITIVE,فقیر وہ ہے جو اپنی غلطیوں پر اپنا احتساب کرے اور دوسروں کی اچھائیوں پر نظر ؟؟کھے نا کے دوسروں کو گالیاں دے اور خود کو فرشتہ سمجھے ,96
POSITIVE,عوامی تحریک کے سربراہ ڈاکٹر طاہر القادری کا واپس کینیڈا جانے کا فیصلہ ,97
POSITIVE,نواز شریف کی بھارت کے بعد اسرائیل کو خوش کرنے کی کوشش حکومت کی ناک کے عین نیچے اسرائیلی اسٹال ,98
POSITIVE,سوشل میڈیا پہ تو ہر کوئی کچھ بھی کہہ لیتا ھے اگر آپ احمدیوں کے لئے پرنٹ یا الیکٹرونک میڈیا پہ آواز اٹھائو تو بات اے ,99
NEUTRAL,"هم اپنے حصے کا پاکستان ساتھ لائے ، پهلے پاکستان بنایا پهر یهاں آئے ، خواجه اظهار ایم کیو ایم ",100
NEUTRAL,لگتا ھے مونس الٰہی کو قادری صاحب نے خصوصی دعا سے نواز دیا ھے ۔ ۔ :) ,101
POSITIVE,خدا کے لیے کوئی کینڈی کرش ساگا گیم کھیلنے کے لئے جو لوگ مجھ کو انوائیٹ کرتے ہیں ان سے جان چھڑوائے خدا لئے ۔۔۔ ,102
NEUTRAL,کیاعمران خان صرف ٹوئٹر اور فیس بک پہ وزیر اعظم بن سکتا ہے ؟ ,103
NEUTRAL,بھائی کیا کہیں چاہ ہی ختم ہو گئی ہے ۔ ,104
POSITIVE,لاہور: میٹروبس پر ۳۰ ارب خرچ ہوئے ۔ ,105
POSITIVE,عوامی ٹیکسوں سے حاصل ہونے والا پیسہ سیاسی مقاصد کے لئے استعمال نہیں کیا جاسکتا : لاہور ہائیکورٹ ,106
NEUTRAL,جب تک ذندہ ہوں یہیں بیٹھوں :پاکستان خان وطن کی مٹی مجھے ایڑیاں رگڑنے دے مجھے یقین ہے کہ چشمہ یہیں سے نکلے گا ,107
NEUTRAL,تمہارے پاؤں میں رکھ دی ہے شاعری اپنیکسی کو کون یوں اپنی کمائی دیتا ہے ,108
NEUTRAL,کیا کوئی دوست پاکستان کے ٹیسٹ میچ کے بارے میں بتا سکتا هے ۔ ساتھ ٹائم لازم لکھنا ,109
POSITIVE,کھجور اور بلغم : بلغمی مزاج کے لوگ اگر دن میں پانچ کھجوریں کھائیں تو بلغم ختم ہوجاتی ہے ۔ ,110
NEUTRAL,دنیا گول هے چندے سے چندے تک کا سفر۔۔۔۔چندے سے انقلاب ,111
NEUTRAL,اللہ جانے وے ماہی تیرا پیار کی اے دل دی اوداسی نی جاندی ,112
POSITIVE,"محرم الحرام کا چاند نظر آ گیا، یوم عاشورہ چار نومبر کو ہوگا ",113
POSITIVE,خاتو ن جج کو کمرہ عدالت میں کرکٹ سیکھنی پڑگئی ,114
POSITIVE,سلیکٹرز ۔۔۔ یونس خان کی جانب سے ایک اور سینچری ,115
NEUTRAL,ظلم آ سدھو سانوو ,116
NEUTRAL,کبھی کبھی یوز کرتا ھوں ,117
POSITIVE,اسلام آباد میں محرم الحرام کا چاند نظر آ گیا۔ نیا اسلامی سال مبارک ہو۔ ہم سب کے لیے برکت اور آسانی کا باعث بنے ۔آ مین ,118
POSITIVE,"دانستہ چھوڑ جاؤں گا میدان ، اور تُمہارے ہوئے رہو گے ، اگر جیت بھی گئے ",119
POSITIVE,افغانستان: آخری امریکی اور برطانوی دستوں کا آپریشن ختم کرنے کا فیصلہ ,120
POSITIVE,اس عمر کے مرتبے کا میں کیا تذکرہ کرسکتا ہوں کہ جس کے ہونٹوں سے نکلے الفاظ کو خدا قرآن بنا کر اتار دیتا ہے ۔سیدنا عمر فاروق رضی اللہ عنہ ,121
POSITIVE,"اج بهت سے لوگو کو طاهر القادری کا فیصله سمج نهی ایا، کل پهر انهی لوگو کا کهنا هو گا طاهر القادری ڻهیک کهتے تهے ۔ ",122
POSITIVE,کراچی :این ای ڈی یونیورسٹی میں ایڈمیشن کیلئے انٹری ٹیسٹ کا اعلان ہو گیا۔ ,123
NEUTRAL,پہلے دو تین گھونٹ کے بعد چائے بس گرم میٹھا پانی ہی رہ جاتی ہے ,124
NEUTRAL,جزاک اللہ میں اسی کے انتظار میں ابھی تک سویا نہیں ,125
NEUTRAL,ڈانس ڈائریکٹر پپو سمراٹ نے اپنے کام کا مظاہرہ کیا ,126
POSITIVE,تمام مسلمانوں کو نیا اسلامی سال مبارک ۔۔۔شہادت امیر المومنین سیدنا فاروق اعظم علیہ السلام اور سیدنا حسین علیہ السلام پر ہدیہ تعزیت ,127
POSITIVE,"رسول ﷲ ﷺ نے فرمایا: خبردار کبھی بالارادہ نماز نہ چھوڑنا، کیونکہ جس نے دیدہ و دانستہ اور عمداً نماز چھوڑدی تو اللہ کا ذمہ اس سے بری ہے (ابن ماج) ",128
POSITIVE,"تحریک انصاف استعفوں کے موقف پر قائم ہے ،نظام کی تبدیلی چاہتے ہیں ،شیریں مزاری"" ",129
POSITIVE,چندے سے انقلاب لانے سے بہتر ہے کے ہم کسی مستحق کی امداد کریں اور اسکی زندگی کو خوشحال کر دیں - ,130
POSITIVE,"حضرت آسیہ رضی اللہ تعالٰی عنہا نے اپنا ایمان اپنے شوہر فرعون سے چھپایا تھا، جب فرعون کو اس کا پتہ چلا تو اس نے ۔۔۔ ",131
POSITIVE,ڈاکٹر طارق سلیم کو امیر ضلع گجرات منتخب ہو گئے ,132
POSITIVE,لاہور: جانوروں کا گوشت بھی قبضہ میں لے لیا گیا۔ ,133
NEUTRAL,مذہبی امور کے وزیر سردار محمد یوسف اور رکن قومی اسمبلی محمد صفدر نے اسلام آباد میں وزیر اعظم محمد نواز شریف سے ملاقات کی ,134
NEUTRAL,لاہور: عوام نے مینڈیٹ دیا ہے دھرنوں سے فرق نہیں پڑتا۔ صوبائی وزیر قانون ,135
POSITIVE,بھارتی مقبوضہ کشمیر میں بین الاقوامی مبصر کی تعیناتی خطے میں پائیدار امن کیلئے ناگزیر ہے ,136
NEUTRAL,نئ گیند ,137
POSITIVE,"اسکاٹ لینڈ کے لوگوں کو ریفرنڈم کا حق دیا جا سکتا ہے تو کشمیر یوں کوکیوں نہیں ، مختلف ممالک میں بیٹھے ہمارے سفارت کاران معاملات پر کام نہیں کر رہے ،اویس لغاری ",138
POSITIVE,"آسٹریلوی ماہرین کا طبی میدان میں اہم کارنامہ ، مردہ دل کی کامیاب پیوند کاری ",139
NEUTRAL,سبزے کو جب کہیں جگہ نہ ملی بن گیا روئے آب پر کائی ۔۔ غالب ,140
NEUTRAL,"ﺁﺧﺮﯼ ﻓﺘﺢ ﺧﺎﻣﻮﺷﯽ ﮐﯽ ﮨﻮﺋﯽ ۔۔ﺍﻭﺭ ﺁﻭﺍﺯ ، ﻓﻨﺎ ﮨﻮ ﮔﺌﯽ ۔۔۔ ",141
POSITIVE,"بلدیاتی الیکشن کرانے کو تیار ہیں ، الیکشن کمیشن اجازت دے viNEUTRAL ",142
POSITIVE,مجھے سیدنا عمر فاروق رضی اللہ عنہ سے محبت اس وجہ سے بھی ہے کہ میں نے دیکھا کہ آدھی دنیا کا حکمران سر کے نیچے اینٹ رکھے درخت کے سائے تلے سویاہے ,143
POSITIVE,"اووووووئے پاکستانیوں دس بیس روپے چندہ دو مجھے ، تمہارے لئے دھرنے دے رہا ہوں ! اگر آ نہیں سکتے ، چندہ تو دے سکتے ہو ناں !!!!چندے سے انقلاب ",144
NEUTRAL,لوگوں پر ایک ایسا زمانہ آنے والا ہے کہ جس میں آدمی کو پرواہ نہیں ہوگی کہ جو وہ لے رہا ہے آیا کہ حلال ہے یا حرام(صحیح بخاری) ,145
POSITIVE,فرانس: اب ڈرونز بھی ریس لگاتے نظر آئیں گے : پیرس۔۔۔۔۔۔۔۔کار ریسنگ اور بائیک ریسنگ ماضی کا قصہ ہوگئی ہیں کیونکہ۔۔۔ ,146
NEUTRAL,وہ تو بس ایسے ہی دل چاہ رہا تھا میرا ڈائلاگ مارنے کا :) ,147
POSITIVE,کچھ لوگوں کو شکریہ کہنا ہے جو۔۔۔پٹوریوں کو ان کی زبان میں جواب دیتے ہے اورکا دفاع کرتے ہے وغیرہ کو ,148
POSITIVE,خوبصورتی کی انتہاء ہو گئی ۔۔۔۔ ,149
POSITIVE,عمران اگر اپنے بچوں کی صحیح تعداد بتا دے اور اپنا ڈوب ٹیسٹ که وه نشئی نھیں ھے وه چیک کروا تو شاید کچھ اور لوگ اس کی حمایت کردیں ,150
NEUTRAL,اچھا اچھا صدر میں گھوم رہیں وہاں میرے پُھپُھا کی دُکان تھی لائف بُکس کے نام سے اور کراچی کمپنی میں فاران بُکس کے نام سے ,151
NEUTRAL,کیا اس سے زیادہ بھی تماشے کی تمنا ھے تمھیں ,152
POSITIVE,عوامی تحریک جمعہ کو ایبٹ آباد میں جلسہ کرے گی: انقلابیوں کا اگلا پڑاؤ اب ایبٹ آباد میں ہوگا… ,153
POSITIVE,بازؤوں سے محروم امریکی نو جوان ماہر گٹارسٹ بن گیا: نیویارک ۔۔۔۔۔۔ امریکہ سے تعلق رکھنے والے دو ۔۔۔ ,154
NEUTRAL,نورا اپنے رشتے دار پر سوار- ,155
NEUTRAL,اگرچہ انسان کو مقدر سے زیادہ رزق نہیں ملتا لیکن رزق کی تلاش میں سستی نہیں کرنی چاہیے ۔ ,156
POSITIVE,اورنگی ٹاؤن کے 2 بچوں میں پولیو وائرس کی تصدیق ,157
NEUTRAL,"لاہور: انٹری ٹیسٹ کو ختم نہیں کیا، معاملہ زیر غور ہے ۔ صوبائی وزیر رانا مشہود ",158
POSITIVE,کراچی: ایدھی سنٹر پر ڈاکے کا مرکزی ملزم گرفتار عیدھی صاحب پہلے بھی آپ کی ۲۳ سالہ دلہن کڑوڑوں روپے لے اڑی تھی ,159
POSITIVE,لگ تو یو ہی رہا ہے کہ پاکستان میچ آسانی سے جیت لے گا ,160
NEUTRAL,قادری صاحب سمجھ تے تسی گے ہو گے ,161
POSITIVE,حضرت اسما بنت یزید سے روایت ہے کہ رسول الله صلی اللہ علیہ وسلم نے ارشاد فرمایاکہ:قیامت کے دن سب لوگ (زندہ کیے جانے کے بعد) ایک وسیع اور ہموار ,162
POSITIVE,آپ صلی الله علیہ وسلم نے فرمایا اگرجھک جانے ( عاجزی اختیار کرنے ) سے تمہاری عزت گھٹ جاے تو قیامت کے دن مجھ سے لے لینا( صحیح مسلم حدیث 784 ) ,163
NEUTRAL,پیپلز پارٹی نے ہمشہ سندھ کارڈ استعمال کیا : الطاف حسین ,164
POSITIVE,دبئی ٹیسٹ یونس خان کے نام ٹیسٹ کے دونوں اننگز میں سنچری لگاکر پاکستان کی تاریخ میں سب سے زیادہ سنچریاں بنانے والے کھلاڑی بن گئے ,165
POSITIVE,عوامی تحریک کا دھرنا ختم ہونے پر اسلام آباد میں عید کا سماں ,166
POSITIVE,۔کیا زبردست دن تها آج پاکستان کرکٹ ٹیم کے لیے ۔۔پہلے تو احمد۔۔۔ ,167
POSITIVE,"دبئی: پہلا ٹیسٹ، پاکستان کا آسٹریلیا کیخلاف ٹاس جیت کر بیٹنگ کا فیصلہ ",168
POSITIVE,    ,169
NEUTRAL,میں حُر ہوں ابھی لشکرِ یزید میں ھوں میرا حسینؑ ابھی کربلا نہیں پہنچا ,170
POSITIVE,میرا کپتان نہی بولا تو ہمیں بھی NEUTRALT کے دوستو کو کچھ نہی بولنا۔ہمیں اپنے راستے پر چلنا ہے اور منزل کی جانب بڑھنا ہے ۔انشااللہ نیا پاکستان ,171
NEUTRAL,یہ بھی حقیقت ھے کہ لوگ اپنی سیاسی قائدین پہ اندھا اعتماد کرتے ہیں ,172
NEUTRAL,ان جیسے دوست سے بہتر ہے اکیلا رہنا ,173
NEUTRAL,چور زیاده شور مچاتا ھے کورٹس زنده آباد اور قادری عمران اور مبشر سازشی مرده آباد ,174
POSITIVE,تحریک انصاف نے استعفوں کی تصدیق کیلئے اسپیکر کے سامنے پیش ہونے کا فیصلہ کرلیا - سچ ٹی وی ,175
POSITIVE,محرم کاچاند نظر آگیا کراچی :ﮈﯼ ﺟﯽ ﺭﯾﻨﺠﺮﺯ ﮐﯽ ﻣﺤﺮﻡ ﮐﮯ ﺩﻭﺭﺍﻥ ﺍﺳﻠﺤﮧ ﻟﮯ ﮐﺮ ﭼﻠﻨﮯ ﻭﺍﻟﻮﮞ ﮐﯿﺨﻼﻑ ﺳﺨﺖ ﮐﺎﺭﺭﻭﺍﺋﯽ ﮐﯽﮨﺪایت ,176
NEUTRAL,﷽ ٭ قل ھواللہ احد٭ اللہ الصمد ٭لم یلد ولم یولد ٭ولم یکن لہ کفواً احد٭ ,177
